Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-5674507,特許2011-041710(2011/02/28),5674507,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,２次元コリメータモジュール、Ｘ線検出器、Ｘ線ＣＴ装置、２次元コリメータモジュールの組立て方法、および２次元コリメータ装置の製造方法。,17,本権利は抹消されていない存続期間満了日(2031/02/28),9年,(2022/12/28)
page-5674622,特許2011-230624(2011/10/20),5674622,イギリス(504394342)アーム・リミテッド,非セキュアドメインの中に表示される対象画像のためのセキュリティ対策,23,本権利は抹消されていない存続期間満了日(2031/10/20),9年,(2022/12/28)
page-5674638,特許2011-501854(2009/02/12),5674638,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,スペクトル撮像のための高速切り換えのシステム及び方法,13,本権利は抹消されていない存続期間満了日(2029/02/12),9年,(2022/12/28)
page-5674672,特許2011-535147(2009/09/29),5674672,フランス国(505277691)スネクマ,タービンエンジンのロータまたはステータ要素を締結するための環状フランジ,10,本権利は抹消されていない存続期間満了日(2029/09/29),9年,(2022/12/28)
page-5674675,特許2011-537404(2008/11/19),5674675,アメリカ合衆国(500205770)マイクロ　モーション　インコーポレイテッド,振動モード分離を向上させたコリオリ流量計,8,本権利は抹消されていない存続期間満了日(2028/11/19),9年,(2022/12/28)
page-5674677,特許2011-541029(2009/12/21),5674677,オーストラリア国(591143869)ザ　ユニバーシティー　オブ　メルボルン,疼痛治療,13,本権利は抹消されていない存続期間満了日(2029/12/21),9年,(2022/12/28)
page-5674713,特許2012-129409(2012/06/07),5674713,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,バッテリの電力供給性能を予測するシステム及び方法,15,本権利は抹消されていない存続期間満了日(2032/06/07),9年,(2022/12/28)
page-5674752,特許2012-270597(2006/10/19),5674752,大韓民国(596180076)韓國電子通信研究院,適応型走査を用いる動画の符号化／復号化装置,5,本権利は抹消されていない存続期間満了日(2026/10/19),9年,(2022/12/28)
page-5674769,特許2012-512361(2010/05/26),5674769,イタリア国(509238432)サチミ、コオペラティバ、メッカニーチ、イモラ、ソチエタ、コオペラティバ,エンボス加工方法及び装置,15,本権利は抹消されていない存続期間満了日(2030/05/26),9年,(2022/12/28)
page-5674780,特許2012-518560(2010/06/25),5674780,スウェーデン王国メディビール　エービー,ＳＭＡＣ模倣体,19,本権利は抹消されていない存続期間満了日(2030/06/25),9年,(2022/12/28)
page-5674796,特許2012-532645(2010/09/23),5674796,フランス国(505277691)スネクマ,ステータブレードの角度位置を制御するためのシステム、および前記角度位置を最適化するための方法,8,本権利は抹消されていない存続期間満了日(2030/09/23),9年,(2022/12/28)
page-5674809,特許2012-542015(2010/11/01),5674809,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,多周波数ＴＤＭネットワークに対するメディア・アクセス制御方式,9,本権利は抹消されていない存続期間満了日(2030/11/01),9年,(2022/12/28)
page-5674818,特許2012-551662(2011/01/21),5674818,フランス国(505277691)スネクマ,タービンエンジンファン,8,本権利は抹消されていない存続期間満了日(2031/01/21),9年,(2022/12/28)
page-5674827,特許2012-557079(2011/02/28),5674827,アメリカ合衆国(507236292)ドルビー　ラボラトリーズ　ライセンシング　コーポレイション,多重チャネル音声信号中の発話に関連したチャネルのダッキングをスケーリングするための方法およびシステム,66,本権利は抹消されていない存続期間満了日(2031/02/28),9年,(2022/12/28)
page-5674843,特許2013-059770(2007/11/27),5674843,ドイツ連邦共和国(599117152)フレゼニウス　メディカル　ケアー　ドイチュラント　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,繊維束を製造するための方法,9,本権利は抹消されていない存続期間満了日(2027/11/27),9年,(2022/12/28)
page-5674853,特許2013-086392(2006/11/20),5674853,アメリカ合衆国(505307471)インテグリス・インコーポレーテッド,ポンプの機械式ピストンのピストン制御システムおよび方法,20,本権利は抹消されていない存続期間満了日(2026/11/20),9年,(2022/12/28)
page-5674873,特許2013-148284(2008/04/11),5674873,オランダ王国ドルビー・インターナショナル・アーベー,ビデオ符号化及び複合化におけるタイリング,2,本権利は抹消されていない存続期間満了日(2028/04/11),9年,(2022/12/28)
page-5674913,特許2013-500549(2010/03/25),5674913,フランス国(509250087)テール　アルメ　アンテルナシオナル,補強された地面の構造,14,本権利は抹消されていない存続期間満了日(2030/03/25),9年,(2022/12/28)
page-5674928,特許2013-514794(2011/06/14),5674928,イタリア国(510152666)ダニエリ　アンド　シー．オフィス　メカニケ　エスピーエー,圧延ラインおよびそれに関する方法,16,本権利は抹消されていない存続期間満了日(2031/06/14),9年,(2022/12/28)
page-5674929,特許2013-514795(2011/06/14),5674929,イタリア国(510152666)ダニエリ　アンド　シー．オフィス　メカニケ　エスピーエー,板製品のための圧延方法およびそれに関する圧延ライン,11,本権利は抹消されていない存続期間満了日(2031/06/14),9年,(2022/12/28)
page-5674955,特許2013-533858(2011/09/12),5674955,アメリカ合衆国(591025439)ザイリンクス　インコーポレイテッド,複数ループ対称インダクタ,7,本権利は抹消されていない存続期間満了日(2031/09/12),9年,(2022/12/28)
page-5674960,特許2013-542042(2011/11/18),5674960,アメリカ合衆国(500413696)ビーイー・エアロスペース・インコーポレーテッド,収納可能な乗客用座席トレーテーブル,17,本権利は抹消されていない存続期間満了日(2031/11/18),9年,(2022/12/28)
page-5675002,特許2014-527301(2012/08/23),5675002,アメリカ合衆国(500413696)ビーイー・エアロスペース・インコーポレーテッド,航空機ギャレー液体冷却システム,9,本権利は抹消されていない存続期間満了日(2032/08/23),9年,(2022/12/28)
page-5675036,特許2008-153672(2008/06/12),5675036,アメリカ合衆国(508177046)ジーイー－ヒタチ・ニュークリア・エナジー・アメリカズ・エルエルシー,原子炉の検査、保守及び修理のための装置及び方法,7,本権利は抹消されていない存続期間満了日(2028/06/12),9年,(2022/12/28)
page-5675060,特許2009-128404(2009/05/28),5675060,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ハイブリッド燃料ノズル,8,本権利は抹消されていない存続期間満了日(2029/05/28),9年,(2022/12/28)
page-5675115,特許2010-004467(2010/01/12),5675115,アメリカ合衆国(510011673)コヴィディエン　リミテッド　パートナーシップ,エネルギー送達アルゴリズムフィルタのプレロード,4,本権利は抹消されていない存続期間満了日(2030/01/12),9年,(2022/12/28)
page-5675129,特許2010-039504(2010/02/25),5675129,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,通路を介しての流体の送出に関する装置、方法及び／又はシステム,8,本権利は抹消されていない存続期間満了日(2030/02/25),9年,(2022/12/28)
page-5675159,特許2010-101862(2010/04/27),5675159,フランス国(507274799)プジョー　シトロエン　オートモビル　エス　アー,垂直な開口部を持つ２つのサスペンションアームを備える自動車用後車軸,10,本権利は抹消されていない存続期間満了日(2030/04/27),9年,(2022/12/28)
page-5675218,特許2010-190200(2010/08/27),5675218,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,インピンジメント冷却式トランジションピース後部フレーム,9,本権利は抹消されていない存続期間満了日(2030/08/27),9年,(2022/12/28)
page-5675242,特許2010-208824(2010/09/17),5675242,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,大面積のモジュール式センサアレイ組立体および同組立体を作製する方法,15,本権利は抹消されていない存続期間満了日(2030/09/17),9年,(2022/12/28)
page-5675350,特許2010-516282(2008/07/11),5675350,アメリカ合衆国(595038051)メドトロニック　ミニメド　インコーポレイテッド,ポリビオロゲン化合物、該化合物の合成方法、グルコースセンサー、およびグルコース測定用組成物,19,本権利は抹消されていない存続期間満了日(2028/07/11),9年,(2022/12/28)
page-5675362,特許2010-533105(2008/11/07),5675362,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,磁気共鳴撮像における脂肪／水の分離を強化するためのシステム、方法及びマシン読み取り可能プログラム,21,本権利は抹消されていない存続期間満了日(2028/11/07),9年,(2022/12/28)
page-5675369,特許2010-544927(2009/01/30),5675369,スウェーデン国(504033441)ベーリンゲ、イノベイション、アクチボラグ,フロアパネルの機械的係止、パネルを設置する方法及び取り外す方法、係止システムを製造するための方法及び機器、変位可能なタングをパネルに連結する方法、及びタングブランク,15,本権利は抹消されていない存続期間満了日(2029/01/30),9年,(2022/12/28)
page-5675529,特許2011-171908(2011/08/05),5675529,アメリカ合衆国(311000579)ペレグリン　セミコンダクター　コーポレーション,低雑音高効率バイアス生成回路及び方法,21,本権利は抹消されていない存続期間満了日(2031/08/05),9年,(2022/12/28)
page-5675582,特許2011-287520(2011/12/28),5675582,アメリカ合衆国(508177046)ジーイー－ヒタチ・ニュークリア・エナジー・アメリカズ・エルエルシー,原子炉圧力容器ヘッドベント及びそれを使用する方法,8,本権利は抹消されていない存続期間満了日(2031/12/28),9年,(2022/12/28)
page-5675605,特許2011-516883(2009/07/02),5675605,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,原子層堆積装置,9,本権利は抹消されていない存続期間満了日(2029/07/02),9年,(2022/12/28)
page-5675612,特許2011-523862(2009/08/11),5675612,アメリカ合衆国(504101304)メドトロニック・ゾーメド・インコーポレーテッド,外科的な流体管理システム,14,本権利は抹消されていない存続期間満了日(2029/08/11),9年,(2022/12/28)
page-5675617,特許2011-526204(2009/09/03),5675617,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,加工時における基板の分光モニタリングを使用した研磨速度の調整,14,本権利は抹消されていない存続期間満了日(2029/09/03),9年,(2022/12/28)
page-5675624,特許2011-531013(2009/08/07),5675624,アメリカ合衆国ボストン　サイエンティフィック　サイムド，インコーポレイテッド,組織穿刺遠位プローブを有する血管内デバイス,35,本権利は抹消されていない存続期間満了日(2029/08/07),9年,(2022/12/28)
page-5675629,特許2011-533299(2009/10/21),5675629,アメリカ合衆国(510094115)オニキス　セラピューティクス，　インク．,ペプチドエポキシケトンを用いた併用療法,20,本権利は抹消されていない存続期間満了日(2029/10/21),9年,(2022/12/28)
page-5675635,特許2011-539089(2009/11/27),5675635,イギリス国(506352278)クローダ　インターナショナル　パブリック　リミティド　カンパニー,ギヤ油添加剤,14,本権利は抹消されていない存続期間満了日(2029/11/27),9年,(2022/12/28)
page-5675644,特許2011-543733(2009/12/31),5675644,アメリカ合衆国(507241012)アンドロイド　インダストリーズ　エルエルシー,タイヤとホイールとを取り付けるためのシステム及び方法,18,本権利は抹消されていない存続期間満了日(2029/12/31),9年,(2022/12/28)
page-5675647,特許2011-545661(2009/12/28),5675647,ドイツ連邦共和国(508020155)ビーエーエスエフ　ソシエタス・ヨーロピア,有機黒色顔料およびその製造,17,本権利は抹消されていない存続期間満了日(2029/12/28),9年,(2022/12/28)
page-5675652,特許2011-547937(2009/12/18),5675652,アメリカ合衆国(503246934)テスコム・コーポレーション,温度制御圧力調節器,15,本権利は抹消されていない存続期間満了日(2029/12/18),9年,(2022/12/28)
page-5675659,特許2011-553083(2010/03/03),5675659,アメリカ合衆国(596170170)ゼロックス　コーポレイション,構造化有機薄膜,6,本権利は抹消されていない存続期間満了日(2030/03/03),9年,(2022/12/28)
page-5675745,特許2012-223543(2006/12/20),5675745,アメリカ合衆国(505471912)コヴィディエン　リミテッド　パートナーシップ,切除装置,9,本権利は抹消されていない存続期間満了日(2026/12/20),9年,(2022/12/28)
page-5675830,特許2012-537409(2010/11/05),5675830,スウェーデン国(509343149)オーリンス・レイシング・エービー,減衰特性の能動調整装置を有するステアリングダンパー,36,本権利は抹消されていない存続期間満了日(2030/11/05),9年,(2022/12/28)
page-5675834,特許2012-539030(2010/11/12),5675834,アメリカ合衆国ゼブラ　テクノロジーズ　コーポレイション,符号化モジュール、関連する符号化素子、コネクタ、プリンタ－エンコーダ、およびアクセス制御システム,10,本権利は抹消されていない存続期間満了日(2030/11/12),9年,(2022/12/28)
page-5675844,特許2012-548316(2011/01/11),5675844,カナダ(512049948)ノベリス・インコーポレイテッド カナダ(512182016)モンテベッロ・パッケージング,壁厚さの勾配を有するプリフォームから金属容器等を圧力成形する方法,14,本権利は抹消されていない存続期間満了日(2031/01/11),9年,(2022/12/28)
page-5675858,特許2013-010706(2009/07/02),5675858,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,車両用エネルギー貯蔵装置を制御する方法およびシステム,2,本権利は抹消されていない存続期間満了日(2029/07/02),9年,(2022/12/28)
page-5676426,特許2011-502986(2009/04/02),5676426,アメリカ合衆国(597115727)ローズマウント　インコーポレイテッド,誘電性改質充填流体を有する工業用圧力センサ,23,本権利は抹消されていない存続期間満了日(2029/04/02),9年,(2022/12/28)
page-5676427,特許2011-504569(2009/04/14),5676427,フランス(310021434)ベクトン　ディキンソン　フランス,針保護組立体,10,本権利は抹消されていない存続期間満了日(2029/04/14),9年,(2022/12/28)
page-5676476,特許2011-545313(2010/01/08),5676476,アメリカ合衆国アプライド　マテリアルズ　インコーポレイテッド,集積回路の物理的配置を最適化するためのリソグラフィ装置の照明条件セットの選択方法,12,本権利は抹消されていない存続期間満了日(2030/01/08),9年,(2022/12/28)
page-5676493,特許2011-552944(2010/03/03),5676493,アメリカ合衆国ダブリュ．エル．ゴア　アンド　アソシエイツ，インコーポレイティド,非侵襲的なリード除去シース,59,本権利は抹消されていない存続期間満了日(2030/03/03),9年,(2022/12/28)
page-5676576,特許2012-511167(2010/05/07),5676576,フランス国(504255249)ヴァルレック　オイル　アンド　ガス　フランス 東京都千代田区(000006655)日本製鉄株式会社,炭化水素井戸の掘削および運転のためのネジ山付き接続部,14,本権利は抹消されていない存続期間満了日(2030/05/07),9年,(2022/12/28)
page-5676590,特許2012-516164(2010/06/14),5676590,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,ポリマー発泡体,3,本権利は抹消されていない存続期間満了日(2030/06/14),9年,(2022/12/28)
page-5676658,特許2013-000819(2007/06/29),5676658,アメリカ合衆国(508151552)ティーイーエル　エフエスアイ，インコーポレイティド,液体エーロゾル式パーティクル除去方法,8,本権利は抹消されていない存続期間満了日(2027/06/29),9年,(2022/12/28)
page-5676665,特許2013-038267(2013/02/28),5676665,アメリカ合衆国(590005449)レイセオン　テクノロジーズ　コーポレイション,ガスタービンエンジン,11,本権利は抹消されていない存続期間満了日(2033/02/28),9年,(2022/12/28)
page-5676677,特許2013-083141(2007/06/29),5676677,アメリカ合衆国(591009509)ボーズ・コーポレーション,イヤフォン,31,本権利は抹消されていない存続期間満了日(2027/06/29),9年,(2022/12/28)
page-5676712,特許2013-189430(2009/07/08),5676712,アメリカ合衆国(506010792)カール・ストーツ・イメージング・インコーポレイテッド,ソリッドステート型の観察方向可変型内視鏡,19,本権利は抹消されていない存続期間満了日(2029/07/08),9年,(2022/12/28)
page-5676783,特許2013-554485(2012/02/09),5676783,アメリカ合衆国(591009509)ボーズ・コーポレーション,音響ホーンゲイン管理,20,本権利は抹消されていない存続期間満了日(2032/02/09),9年,(2022/12/28)
page-5676795,特許2014-035015(2010/04/27),5676795,アメリカ合衆国(591009509)ボーズ・コーポレーション,音依存のＡＮＲ信号処理調整,15,本権利は抹消されていない存続期間満了日(2030/04/27),9年,(2022/12/28)
page-5676820,特許2014-508354(2012/03/22),5676820,アメリカ合衆国(503062253)アナログ　ディヴァイスィズ　インク,増幅器のためのノイズ消去システムおよび方法,17,本権利は抹消されていない存続期間満了日(2032/03/22),9年,(2022/12/28)
page-5676825,特許2014-528712(2012/12/26),5676825,アメリカ合衆国(590005449)レイセオン　テクノロジーズ　コーポレイション,ガスタービンエンジン圧縮機構造,14,本権利は抹消されていない存続期間満了日(2032/12/26),9年,(2022/12/28)
page-5676833,特許2005-188120(2005/06/28),5676833,シンガポール国アバゴ・テクノロジーズ・ジェネラル・アイピー　（シンガポール）プライベート・リミテッド,電気めっきを使用して形成される集積回路パッケージを処理するための方法およびそれから作成された装置,7,本権利は抹消されていない存続期間満了日(2025/06/28),9年,(2022/12/28)
page-5676936,特許2010-147979(2003/04/03),5676936,アメリカ合衆国(591163214)ドナルドソン　カンパニー，インコーポレイティド,フィルタエレメント、エアクリーナ、組立体及び方法,4,本権利は抹消されていない存続期間満了日(2023/04/03),9年,(2022/12/28)
page-5676937,特許2010-147980(2003/04/03),5676937,アメリカ合衆国(591163214)ドナルドソン　カンパニー，インコーポレイティド,フィルタエレメント、エアクリーナ、組立体及び方法,17,本権利は抹消されていない存続期間満了日(2023/04/03),9年,(2022/12/28)
page-5676938,特許2010-147981(2003/04/03),5676938,アメリカ合衆国(591163214)ドナルドソン　カンパニー，インコーポレイティド,フィルタエレメント、エアクリーナ、組立体及び方法,14,本権利は抹消されていない存続期間満了日(2023/04/03),9年,(2022/12/28)
page-5677079,特許2010-288506(2010/12/24),5677079,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,Ｘ線ＣＴ装置,8,本権利は抹消されていない存続期間満了日(2030/12/24),9年,(2022/12/28)
page-5677226,特許2011-165151(2011/07/28),5677226,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴装置およびプログラム,10,本権利は抹消されていない存続期間満了日(2031/07/28),9年,(2022/12/28)
page-5677288,特許2011-508606(2009/05/05),5677288,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,遠位側端部の拡大されたカートリッジを有する薬剤送達器材,19,本権利は抹消されていない存続期間満了日(2029/05/05),9年,(2022/12/28)
page-5677289,特許2011-508972(2009/05/14),5677289,スペイン国(510215651)アルセロルミタル・インベステイガシオン・イ・デサロジヨ・エセ・エレ,外観が改善された被覆金属ストリップを製造する方法,13,本権利は抹消されていない存続期間満了日(2029/05/14),9年,(2022/12/28)
page-5677333,特許2012-015757(2005/09/13),5677333,大阪府大阪市(000002934)武田薬品工業株式会社,酸化化合物の製造方法及び製造装置,1,本権利は抹消されていない存続期間満了日(2025/09/13),9年,(2022/12/28)
page-5677374,特許2012-140971(2007/03/14),5677374,アメリカ合衆国スリーエム　イノベイティブ　プロパティズ　カンパニー,バルーンディセッションを用いて経皮的に減圧治療を施す方法,26,本権利は抹消されていない存続期間満了日(2027/03/14),9年,(2022/12/28)
page-5677426,特許2012-522232(2010/07/29),5677426,フランス国(505277691)スネクマ フランス国(512022697)ユニベルシテ・ドウ・ラ・ロシエル,セラミックコーティング層を担持する基板を備えた部品,13,本権利は抹消されていない存続期間満了日(2030/07/29),9年,(2022/12/28)
page-5677427,特許2012-522233(2010/07/29),5677427,フランス国(505277691)スネクマ フランス国(512022697)ユニベルシテ・ドウ・ラ・ロシエル,熱障壁を製造する方法,15,本権利は抹消されていない存続期間満了日(2030/07/29),9年,(2022/12/28)
page-5677579,特許2013-527053(2010/11/05),5677579,アメリカ合衆国(500205770)マイクロ　モーション　インコーポレイテッド,改良された振動部材を備えた振動式デンシトメーター,10,本権利は抹消されていない存続期間満了日(2030/11/05),9年,(2022/12/28)
page-5677617,特許2014-500541(2012/12/12),5677617,イスラエル国(510287603)オリディオン　メディカル　１９８７　リミテッド,ルアーコネクタ,7,本権利は抹消されていない存続期間満了日(2032/12/12),9年,(2022/12/28)
page-5677693,特許2011-512469(2009/06/03),5677693,アメリカ合衆国ボシュ　ヘルス　アメリカズ、インク．,水及び水混和性有機溶媒中に懸濁する低濃度過酸化ベンゾイルを含む局所用医薬品製剤,38,本権利は抹消されていない存続期間満了日(2029/06/03),8年,(2022/12/27)
page-5677694,特許2011-526081(2009/08/06),5677694,アメリカ合衆国(505274818)アナログ　デバイシス，　インコーポレイテッド,可動Ｚ－軸感知要素を備えたＭＥＭＳセンサ,15,本権利は抹消されていない存続期間満了日(2029/08/06),9年,(2022/12/28)
page-5677695,特許2011-532180(2009/10/13),5677695,アメリカ合衆国(513204012)インスメッド，　インコーポレイテッド,リポソームアミカシン処方物による肺疾患の治療方法,22,本権利は抹消されていない存続期間満了日(2029/10/13),9年,(2022/12/28)
page-5677711,特許2011-516775(2009/06/29),5677711,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,高性能金属酸化物及び金属酸窒化物薄膜トランジスタを作るためのゲート誘電体の処理,15,本権利は抹消されていない存続期間満了日(2029/06/29),9年,(2022/12/28)
page-5677712,特許2011-516778(2009/06/29),5677712,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,金属酸窒化物ＴＦＴ用キャッピング層,15,本権利は抹消されていない存続期間満了日(2029/06/29),9年,(2022/12/28)
page-5677744,特許2009-541401(2007/12/14),5677744,アメリカ合衆国(507302748)リジェネロン・ファーマシューティカルズ・インコーポレイテッド,ヒトＤｅｌｔａ様リガンド４に対するヒト抗体,15,本権利は抹消されていない存続期間満了日(2027/12/14),9年,(2022/12/28)
page-5677757,特許2010-058891(2010/03/16),5677757,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,超音波診断装置,15,本権利は抹消されていない存続期間満了日(2030/03/16),9年,(2022/12/28)
page-5677788,特許2010-196118(2010/09/01),5677788,ドイツ連邦共和国(398032441)アディダス　アーゲー,生理学的特性をモニタリングするための非侵襲的方法およびシステム,19,本権利は抹消されていない存続期間満了日(2030/09/01),9年,(2022/12/28)
page-5677846,特許2010-527235(2008/09/29),5677846,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,粉末薬物および液体薬物用のカートリッジ,16,本権利は抹消されていない存続期間満了日(2028/09/29),9年,(2022/12/28)
page-5677906,特許2011-159978(2011/07/21),5677906,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴イメージング装置及び寝台装置,10,本権利は抹消されていない存続期間満了日(2031/07/21),9年,(2022/12/28)
page-5677908,特許2011-165226(2011/07/28),5677908,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴イメージング装置、検出方法、およびプログラム,9,本権利は抹消されていない存続期間満了日(2031/07/28),9年,(2022/12/28)
page-5677955,特許2011-526060(2009/09/09),5677955,アメリカ合衆国(506192652)ボストン　サイエンティフィック　サイムド，インコーポレイテッド,複合脱離機構,11,本権利は抹消されていない存続期間満了日(2029/09/09),9年,(2022/12/28)
page-5677964,特許2011-534528(2009/11/03),5677964,アメリカ合衆国マイクロ　モーション　インコーポレイテッド,磁気流量計の乱流補償装置及び方法,18,本権利は抹消されていない存続期間満了日(2029/11/03),9年,(2022/12/28)
page-5677971,特許2011-535705(2009/11/06),5677971,アメリカ合衆国コルボ　ユーエス　インコーポレイテッド,相対的に小型の複数のＭＥＭＳデバイスを用いて相対的に大型のＭＥＭＳデバイスを置き換える方法,6,本権利は抹消されていない存続期間満了日(2029/11/06),9年,(2022/12/28)
page-5677977,特許2011-542881(2009/12/23),5677977,フランス(512162432)エラクレス フランス国(505465771)ユニベルスィテ・ドゥ・ボルドー　１,シリコンを含有する耐熱性基材用の環境バリア,15,本権利は抹消されていない存続期間満了日(2029/12/23),9年,(2022/12/28)
page-5678028,特許2012-502749(2010/03/31),5678028,フランス(512162432)エラクレス フランス国(511130852)スネクマ,ＣＭＣ材料で作製された部品の表面を平滑化する方法,15,本権利は抹消されていない存続期間満了日(2030/03/31),9年,(2022/12/28)
