Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-5863615,特許2012-215773(2012/09/28),5863615,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,画像表示システム及び画像表示装置,10,本権利は抹消されていない存続期間満了日(2032/09/28),8年,(2022/12/28)
page-5863628,特許2012-261786(2012/11/30),5863628,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,超音波診断装置及びその制御プログラム,10,本権利は抹消されていない存続期間満了日(2032/11/30),8年,(2022/12/28)
page-5863646,特許2012-515060(2010/06/08),5863646,アメリカ合衆国(599006351)アドバンスド　テクノロジー　マテリアルズ，インコーポレイテッド,流体処理システム及び方法,15,本権利は抹消されていない存続期間満了日(2030/06/08),8年,(2022/12/28)
page-5863799,特許2013-525334(2011/08/12),5863799,フランス国(502388194)ムービング　マグネット　テクノロジーズ　（ソシエテ　アノニム）,磁気多回転絶対位置検出装置,20,本権利は抹消されていない存続期間満了日(2031/08/12),8年,(2022/12/28)
page-5863817,特許2013-538254(2011/11/07),5863817,フランス国(514181565)ラビナル・パワー・システムズ,非同期機を含む航空機の電源回路,3,本権利は抹消されていない存続期間満了日(2031/11/07),8年,(2022/12/28)
page-5863825,特許2013-545153(2011/12/01),5863825,オランダ国(513084458)シャシー・ブレークス・インターナショナル・ベスローテン・フェンノートシャップ,変形防止装置を備える変換カートリッジを有するディスクブレーキ,7,本権利は抹消されていない存続期間満了日(2031/12/01),8年,(2022/12/28)
page-5863830,特許2013-553512(2012/02/08),5863830,アメリカ合衆国(507236292)ドルビー　ラボラトリーズ　ライセンシング　コーポレイション,フィルタ係数を生成してフィルタを設定する方法、エンコーダ及びデコーダ,21,本権利は抹消されていない存続期間満了日(2032/02/08),8年,(2022/12/28)
page-5863858,特許2014-047759(2011/02/03),5863858,アメリカ合衆国(507236292)ドルビー　ラボラトリーズ　ライセンシング　コーポレイション オランダ王国(511105997)ドルビー・インターナショナル・アーベー,効率的なダウンミキシングを使ったオーディオ・デコーダおよびデコード方法,11,本権利は抹消されていない存続期間満了日(2031/02/03),8年,(2022/12/28)
page-5864064,特許2013-515482(2011/06/15),5864064,アメリカ合衆国(512324188)アベヌ　メディカル　インコーポレイテッド アメリカ合衆国(512324199)バハ　リサーチ，エルエルシー．,動静脈（ＡＶ）フィステルを作るためのシステムおよび方法,7,本権利は抹消されていない存続期間満了日(2031/06/15),8年,(2022/12/28)
page-6064139,特許2015-040152(2010/06/17),6064139,アメリカ合衆国(398050098)バイオジェン・エムエイ・インコーポレイテッド アメリカ合衆国(504278156)コールド　スプリング　ハーバー　ラボラトリー,被験体におけるＳＭＮ２スプライシングのモジュレーションのための組成物および方法,34,本権利は抹消されていない存続期間満了日(2030/12/13),7年,(2022/12/28)
page-6064293,特許2015-538044(2013/10/18),6064293,アメリカ合衆国(500106743)エス．シー．　ジョンソン　アンド　サン、インコーポレイテッド,可動式拡散器を有する揮発性物質分配システム,9,本権利は抹消されていない存続期間満了日(2033/10/18),7年,(2022/12/28)
page-6065203,特許2012-263592(2012/11/30),6065203,アメリカ合衆国(504199127)エヌエックスピー　ユーエスエイ　インコーポレイテッド,伸張可能アームアンテナ、ならびにそれらアンテナが一体化されるモジュールおよびシステム,10,本権利は抹消されていない存続期間満了日(2032/11/30),7年,(2022/12/28)
page-6065295,特許2015-075803(2009/10/05),6065295,ドイツ連邦共和国(510204998)アディダス　アーゲー,場所認識型携帯スポーツ活動モニタリングデバイスを装着しているアスリートがたどるルートを表示する方法,13,本権利は抹消されていない存続期間満了日(2029/10/05),7年,(2022/12/28)
page-6065969,特許2015-503343(2013/03/15),6065969,アメリカ合衆国(500147506)シリコン　ストーリッジ　テクノロージー　インコーポレイテッド,オンザフライ（ＯＮ－ＴＨＥ－ＦＬＹ）でトリミング可能なセンス増幅器,21,本権利は抹消されていない存続期間満了日(2033/03/15),7年,(2022/12/28)
page-6066162,特許2012-075963(2011/07/14),6066162,ドイツ連邦共和国(510204998)アディダス　アーゲー,場所認識フィットネスモニタリング方法、システム及びプログラム製品並びにその応用,9,本権利は抹消されていない存続期間満了日(2031/07/14),7年,(2022/12/28)
page-6066289,特許2012-550278(2011/01/28),6066289,カナダ(309005766)バシウム・カナダ・インコーポレーテッド,カソード材料の最適化方法および強化された電気化学的特性を備えるカソード材料,23,本権利は抹消されていない存続期間満了日(2031/01/28),7年,(2022/12/28)
page-6066503,特許2015-045704(2010/07/28),6066503,大阪府大阪市武田薬品工業株式会社,ゴーシェ病を治療するための組成物および方法,3,本権利は抹消されていない存続期間満了日(2030/07/28),7年,(2022/12/28)
page-6066554,特許2011-273507(2011/12/14),6066554,フランス国(511304475)オベルチュール　テクノロジーズ,ヒューズによって保護されたマイクロ回路カード,6,本権利は抹消されていない存続期間満了日(2031/12/14),7年,(2022/12/28)
page-6066596,特許2012-144873(2012/06/28),6066596,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,Ｘ線撮像における散乱補正の方法及びシステム,11,本権利は抹消されていない存続期間満了日(2032/06/28),7年,(2022/12/28)
page-6066637,特許2012-199016(2012/09/11),6066637,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,複数の乳児の生理学的状態を監視するためのシステム,8,本権利は抹消されていない存続期間満了日(2032/09/11),7年,(2022/12/28)
page-6066642,特許2012-207666(2012/09/21),6066642,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,超音波検出システム、並びにそのフリーズを自動的に制御する方法及び装置,15,本権利は抹消されていない存続期間満了日(2032/09/21),7年,(2022/12/28)
page-6066811,特許2013-083057(2013/04/11),6066811,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,フィルター装置、フィルター装置を用いた濾過方法、フィルター装置を用いた濾過流体の製造方法,5,本権利は抹消されていない存続期間満了日(2033/04/11),7年,(2022/12/28)
page-6066821,特許2013-097294(2013/05/07),6066821,イタリア(508363993)フィアット　グループ　オートモビルズ　エッセ．ピ．ア．,車両用のシートベルト接続装置,10,本権利は抹消されていない存続期間満了日(2033/05/07),7年,(2022/12/28)
page-6066899,特許2013-507980(2011/04/11),6066899,アメリカ合衆国(503450771)テル　エフエスアイ　インコーポレイテッド,基板表面の近傍における流体の混合制御による超小型電子基板の湿式処理,2,本権利は抹消されていない存続期間満了日(2031/04/11),7年,(2022/12/28)
page-6066912,特許2013-536812(2011/10/27),6066912,アメリカ合衆国(500049716)アムジエン・インコーポレーテツド,ＤＫＫ１抗体およびその使用方法,17,本権利は抹消されていない存続期間満了日(2031/10/27),7年,(2022/12/28)
page-6066928,特許2013-553435(2012/02/08),6066928,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,薬剤送達注入セット用の自己格納型挿入器,21,本権利は抹消されていない存続期間満了日(2032/02/08),7年,(2022/12/28)
page-6066987,特許2014-501073(2012/02/17),6066987,アメリカ合衆国(503246934)テスコム・コーポレーション,流体レギュレータ中の流体汚染を回避するための弁装置,15,本権利は抹消されていない存続期間満了日(2032/02/17),7年,(2022/12/28)
page-6066988,特許2014-501301(2012/03/26),6066988,アメリカ合衆国(513239128)ヴィザ　インターナショナル　サーヴィス　アソシエイション,本人によるワンタップ購入装置、方法およびシステム,6,本権利は抹消されていない存続期間満了日(2032/03/26),7年,(2022/12/28)
page-6067010,特許2014-521820(2012/07/20),6067010,アメリカ合衆国(504416080)セイジ・エレクトロクロミクス，インコーポレイテッド アメリカ合衆国(510219947)アライアンス　フォー　サステイナブル　エナジー　リミテッド　ライアビリティ　カンパニー,リチウムおよび金属ドーパントが同時にドープされたエレクトロクロミック酸化ニッケル,15,本権利は抹消されていない存続期間満了日(2032/07/20),7年,(2022/12/28)
page-6067071,特許2015-153915(2010/05/18),6067071,アメリカ合衆国(505243272)ハウメット　コーポレイション,Ｐｔ－Ａｌ－Ｈｆ／Ｚｒコーティング,6,本権利は抹消されていない存続期間満了日(2030/05/18),7年,(2022/12/28)
page-6067098,特許2015-504554(2013/02/20),6067098,アイルランドイートン　インテリジェント　パワー　リミテッド,電源回路内のグローイング接触の検出方法及び検出装置,15,本権利は抹消されていない存続期間満了日(2033/02/20),7年,(2022/12/28)
page-6067121,特許2015-530509(2013/08/28),6067121,フランス(310021434)ベクトン　ディキンソン　フランス,自動注射装置,29,本権利は抹消されていない存続期間満了日(2033/08/28),7年,(2022/12/28)
page-6067203,特許2009-536219(2007/03/23),6067203,アメリカ合衆国(506275586)サリックス　ファーマシューティカルズ，　インコーポレイテッド,２－ヒドロキシ－５－フェニル安息香酸誘導体の処方および使用,22,本権利は抹消されていない存続期間満了日(2027/03/23),7年,(2022/12/28)
page-6067216,特許2011-225400(2011/10/13),6067216,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,接合タービンバケット先端シュラウド及び関連する方法,10,本権利は抹消されていない存続期間満了日(2031/10/13),7年,(2022/12/28)
page-6067234,特許2012-047506(2012/03/05),6067234,アメリカ合衆国ベイカー　ヒューズ　ホールディングス　エルエルシー,位置指示システム,7,本権利は抹消されていない存続期間満了日(2032/03/05),7年,(2023/01/05)
page-6067247,特許2012-124546(2012/05/31),6067247,アメリカ合衆国(500080214)イー　インク　コーポレイション,表示媒体の駆動装置、駆動プログラム、及び表示装置,3,本権利は抹消されていない存続期間満了日(2032/05/31),7年,(2022/12/28)
page-6067265,特許2012-158250(2012/07/17),6067265,イタリア国ヌオーヴォ　ピニォーネ　テクノロジー　―　エス．アール．エル．,平行な付勢ばねを備えた差圧弁およびばねサージを緩和させる方法,12,本権利は抹消されていない存続期間満了日(2032/07/17),7年,(2022/12/28)
page-6067283,特許2012-186083(2012/08/27),6067283,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ロータを修正するためのシステム及び方法,7,本権利は抹消されていない存続期間満了日(2032/08/27),7年,(2022/12/28)
page-6067302,特許2012-216745(2012/09/28),6067302,東京都中野区(308017571)シナプティクス・ジャパン合同会社,半導体装置,8,本権利は抹消されていない存続期間満了日(2032/09/28),7年,(2022/12/28)
page-6067317,特許2012-228502(2012/10/16),6067317,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,中性子検出用途に最適化されたホウ素粉末,3,本権利は抹消されていない存続期間満了日(2032/10/16),7年,(2022/12/28)
page-6067364,特許2012-277539(2012/12/20),6067364,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ガスタービン燃焼器において燃料を噴射する燃料ノズル,20,本権利は抹消されていない存続期間満了日(2032/12/20),7年,(2022/12/28)
page-6067436,特許2013-055845(2013/03/19),6067436,アメリカ合衆国(508177046)ジーイー－ヒタチ・ニュークリア・エナジー・アメリカズ・エルエルシー,冷却材注入システム,5,本権利は抹消されていない存続期間満了日(2033/03/19),7年,(2022/12/28)
page-6067512,特許2013-170280(2008/04/23),6067512,アメリカ合衆国(506192652)ボストン　サイエンティフィック　サイムド，インコーポレイテッド,組織をクリップ留めするデバイス,14,本権利は抹消されていない存続期間満了日(2028/04/23),7年,(2022/12/28)
page-6067543,特許2013-233789(2005/05/04),6067543,アメリカ合衆国(512132022)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,図形ディスプレイエディター,8,本権利は抹消されていない存続期間満了日(2025/05/04),7年,(2022/12/28)
page-6067552,特許2013-506701(2011/04/28),6067552,フィンランド国(591261406)プランメド　オイ,四肢撮影用の医療用Ｘ線撮影装置,15,本権利は抹消されていない存続期間満了日(2031/04/28),7年,(2022/12/28)
page-6067580,特許2013-546219(2011/12/15),6067580,イギリス国(305040710)ジーイー・ヘルスケア・リミテッド,オキシム連結反応の放射性安定化におけるアニリンの使用,15,本権利は抹消されていない存続期間満了日(2031/12/15),7年,(2022/12/28)
page-6067610,特許2014-059879(2014/03/24),6067610,アメリカ合衆国(501410126)ブランソン・ウルトラソニックス・コーポレーション,レーザー溶着装置,1,本権利は抹消されていない存続期間満了日(2034/03/24),7年,(2022/12/28)
page-6067617,特許2014-101340(2014/05/15),6067617,スイス国(591048416)ウーテーアー・エス・アー・マニファクチュール・オロロジェール・スイス,バー上のヒゲゼンマイのための抗接着デバイス,9,本権利は抹消されていない存続期間満了日(2034/05/15),7年,(2022/12/28)
page-6067662,特許2014-245572(2014/12/04),6067662,スイス国(504341564)モントレー　ブレゲ・エス　アー,ミュージカルウォッチ用の音響放散膜,14,本権利は抹消されていない存続期間満了日(2034/12/04),7年,(2022/12/28)
page-6067681,特許2014-508736(2012/04/18),6067681,フランス国(508084928)アヴニ,半導体固体基板へのニッケル系又はコバルト系の金属層の積層方法及びその方法を行うためのキット,17,本権利は抹消されていない存続期間満了日(2032/04/18),7年,(2022/12/28)
page-6067683,特許2014-509800(2012/05/11),6067683,フランス(512162432)エラクレス フランス国(511130852)スネクマ,複合ターボ機械の脚付きブレード,15,本権利は抹消されていない存続期間満了日(2032/05/11),7年,(2022/12/28)
page-6067710,特許2014-528664(2012/08/31),6067710,アメリカ合衆国コルボ　ユーエス　インコーポレイテッド,ＲＦＭＥＭＳのアイソレーション、直列及びシャントＤＶＣ、及び小型のＭＥＭＳ,17,本権利は抹消されていない存続期間満了日(2032/08/31),7年,(2022/12/28)
page-6067773,特許2015-087361(2011/03/25),6067773,オランダ王国(510185767)ドルビー・インターナショナル・アーベー,オーディオ再生のためのオーディオ音場表現のデコードのための方法および装置,6,本権利は抹消されていない存続期間満了日(2031/03/25),7年,(2022/12/28)
page-6067812,特許2015-186868(2012/09/19),6067812,アメリカ合衆国(512132022)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,コンピュータ実施方法、処理モデル展開システム、処理監視システム,26,本権利は抹消されていない存続期間満了日(2032/09/19),7年,(2022/12/28)
page-6067814,特許2015-198318(2015/10/06),6067814,スイス国(506425538)ザ・スウォッチ・グループ・リサーチ・アンド・ディベロップメント・リミテッド,世界中全ての場所の日出又は日没を表示できる計時器,12,本権利は抹消されていない存続期間満了日(2035/10/06),7年,(2022/12/28)
page-6067815,特許2015-199199(2015/10/07),6067815,スイス国(504341564)モントレー　ブレゲ・エス　アー,音響放射構造を備えるミュージカル腕時計又は時報腕時計,18,本権利は抹消されていない存続期間満了日(2035/10/07),7年,(2022/12/28)
page-6067845,特許2015-517752(2013/06/19),6067845,スイス国(591048416)ウーテーアー・エス・アー・マニファクチュール・オロロジェール・スイス,組み立てが単純化された計時器用の耐衝撃システム,9,本権利は抹消されていない存続期間満了日(2033/06/19),7年,(2022/12/28)
page-6067847,特許2015-518469(2013/06/14),6067847,アメリカ合衆国(500413696)ビーイー・エアロスペース・インコーポレーテッド,航空機化粧室用非常時酸素装置,16,本権利は抹消されていない存続期間満了日(2033/06/14),7年,(2022/12/28)
page-6067849,特許2015-520569(2013/06/28),6067849,アメリカ合衆国(507159304)シャイアー　ヒューマン　ジェネティック　セラピーズ　インコーポレイテッド,組換えイズロン酸２スルファターゼを製造するための細胞,23,本権利は抹消されていない存続期間満了日(2033/06/28),7年,(2022/12/28)
page-6067892,特許2015-559576(2014/02/13),6067892,アメリカ合衆国ピーエフ、コンシューマー、ヘルスケア、１、リミテッド、ライアビリティー、カンパニー,安定性を増強した新規な液体組成物,9,本権利は抹消されていない存続期間満了日(2034/02/13),7年,(2022/12/28)
page-6067936,特許2016-517638(2014/07/22),6067936,スイス国(506425538)ザ・スウォッチ・グループ・リサーチ・アンド・ディベロップメント・リミテッド,機械式腕時計用調整システム,13,本権利は抹消されていない存続期間満了日(2034/07/22),7年,(2022/12/28)
page-6067964,特許2011-176853(2011/08/12),6067964,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,放射線硬化性粘着シート,12,本権利は抹消されていない存続期間満了日(2031/08/12),7年,(2022/12/28)
page-6067967,特許2011-250763(2011/11/16),6067967,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,熱膨張性接着シートおよびその製造方法,8,本権利は抹消されていない存続期間満了日(2031/11/16),7年,(2022/12/28)
page-6067997,特許2012-099343(2012/04/25),6067997,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,電気通信のためのコンテンション媒体アクセス制御,13,本権利は抹消されていない存続期間満了日(2032/04/25),7年,(2022/12/28)
page-6068063,特許2012-193660(2012/09/04),6068063,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,電力システムを制御するコントローラおよび方法,10,本権利は抹消されていない存続期間満了日(2032/09/04),7年,(2022/12/28)
page-6068108,特許2012-260176(2012/11/28),6068108,東京都中野区(308017571)シナプティクス・ジャパン合同会社,画像処理回路及び画像処理方法並びにそれを用いた表示パネルドライバ及び表示装置,15,本権利は抹消されていない存続期間満了日(2032/11/28),7年,(2022/12/28)
page-6068150,特許2013-004711(2013/01/15),6068150,アメリカ合衆国(596170170)ゼロックス　コーポレイション,自己位置決め剥離システム,6,本権利は抹消されていない存続期間満了日(2033/01/15),7年,(2022/12/28)
page-6068353,特許2013-537804(2011/11/03),6068353,アメリカ合衆国(391020193)キャタピラー　インコーポレイテッド,電気駆動システムでの車輪モータトルクを制御するためのシステムおよび方法,8,本権利は抹消されていない存続期間満了日(2031/11/03),7年,(2022/12/28)
page-6068368,特許2013-558234(2012/03/19),6068368,アメリカ合衆国(505226437)グローブイミューン，インコーポレイテッド アメリカ合衆国(508285606)ザ　ユナイテッド　ステイツ　オブ　アメリカ，　アズ　リプレゼンテッド　バイ　ザ　セクレタリー，　デパートメント　オブ　ヘルス　アンド　ヒューマン　サービシーズ,酵母－ブラキュリ免疫治療組成物,33,本権利は抹消されていない存続期間満了日(2032/03/19),7年,(2022/12/28)
page-6068434,特許2014-502633(2012/03/22),6068434,スイス国(503416353)ゼネラル　エレクトリック　テクノロジー　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,ドラム温度過渡を制御する方法,10,本権利は抹消されていない存続期間満了日(2032/03/22),7年,(2022/12/28)
page-6068453,特許2014-512856(2012/05/04),6068453,アメリカ合衆国(504416080)セイジ・エレクトロクロミクス，インコーポレイテッド,電子エネルギー制御または表示デバイスの欠陥を修理する装置および方法,14,本権利は抹消されていない存続期間満了日(2032/05/04),7年,(2022/12/28)
page-6068462,特許2014-518558(2012/04/25),6068462,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,高速ガス交換、高速ガス切換、及びプログラミング可能なガス送出のための方法及び装置,14,本権利は抹消されていない存続期間満了日(2032/04/25),7年,(2022/12/28)
page-6068465,特許2014-520325(2012/07/12),6068465,アメリカ合衆国(506257537)クーパー　テクノロジーズ　カンパニー,電力変換器のための過渡電圧遮断,22,本権利は抹消されていない存続期間満了日(2032/07/12),7年,(2022/12/28)
page-6068480,特許2014-533469(2012/10/01),6068480,スペイン国(512037288)アルセロルミタル・インベステイガシオン・イ・デサロジヨ・エセ・エレ,乗り物用軽量鋼ドア及びその製造方法,31,本権利は抹消されていない存続期間満了日(2032/10/01),7年,(2022/12/28)
page-6068493,特許2014-541744(2012/09/20),6068493,イギリス国(594154428)エイアールエム　リミテッド,暗号化アルゴリズム内のハッシュ値の生成をサポートするためのＳＩＭＤ命令,13,本権利は抹消されていない存続期間満了日(2032/09/20),7年,(2022/12/28)
page-6068513,特許2014-557615(2012/02/21),6068513,アメリカ合衆国スリーエム　イノベイティブ　プロパティズ　カンパニー,減圧治療システムと共に使用する多指向性キャニスター,23,本権利は抹消されていない存続期間満了日(2032/02/21),7年,(2022/12/28)
page-6068575,特許2015-147980(2009/03/25),6068575,オランダ王国(511105997)ドルビー・インターナショナル・アーベー,復号方法,3,本権利は抹消されていない存続期間満了日(2029/03/25),7年,(2022/12/28)
page-6068778,特許2010-193001(2010/08/31),6068778,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,車載パワーエレクトロニクスを使用してエネルギーを伝達するための装置および同装置の製造方法,9,本権利は抹消されていない存続期間満了日(2030/08/31),7年,(2022/12/28)
page-6068799,特許2011-502375(2009/03/31),6068799,フランス(591034154)オランジュ フランス国(510264110)アンスティテュ・テレコム／テレコム・ブルターニュ,少なくとも２つの符号語の連結を実施する方法、中継デバイス、およびそのコンピュータプログラム,11,本権利は抹消されていない存続期間満了日(2029/03/31),7年,(2022/12/28)
page-6068805,特許2012-026121(2012/02/09),6068805,アメリカ合衆国(598059608)シノプシス・インコーポレーテッド,プロトタイプシステムにおける汎用的な可制御性及び可観測性のための方法及び装置,17,本権利は抹消されていない存続期間満了日(2032/02/09),7年,(2022/12/28)
page-6068816,特許2012-084262(2012/04/02),6068816,フランス(502189579)エルブイエムエイチ　レシェルシェ,黒色の顔料混合物を含むメイクアップ組成物,16,本権利は抹消されていない存続期間満了日(2032/04/02),7年,(2022/12/28)
page-6069049,特許2013-052151(2006/10/31),6069049,アメリカ合衆国ザ　ケマーズ　カンパニー　エフシー　リミテッド　ライアビリティ　カンパニー,フルオロオレフィンを含む組成物およびそれらの使用,11,本権利は抹消されていない存続期間満了日(2026/10/31),7年,(2022/12/28)
page-6069192,特許2013-512661(2011/05/17),6069192,アメリカ合衆国(510279033)エマーソン　プロセス　マネージメント　レギュレーター　テクノロジーズ　インコーポレイテッド,流体バルブから流体を取り出すための方法および装置,10,本権利は抹消されていない存続期間満了日(2031/05/17),7年,(2022/12/28)
page-6069227,特許2013-557149(2012/03/08),6069227,フランス(513217078)ラザリ、ジャン　ピエール フランス(513217159)ラザリ、ジャン　マルク,背後から照らされるカラーレーザ画像を製造する方法、この方法を用いた身分証明書及びバックライトシステム,9,本権利は抹消されていない存続期間満了日(2032/03/08),7年,(2022/12/28)
page-6069267,特許2014-158170(2009/03/27),6069267,アメリカ合衆国(591002957)グラクソスミスクライン・リミテッド・ライアビリティ・カンパニー,処置方法,15,本権利は抹消されていない存続期間満了日(2029/03/27),7年,(2022/12/28)
page-6069287,特許2014-230724(2009/12/16),6069287,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,自己注射装置,4,本権利は抹消されていない存続期間満了日(2029/12/16),7年,(2022/12/28)
page-6069313,特許2014-519126(2012/06/29),6069313,アメリカ合衆国(507385165)サン　ケミカル　コーポレイション,ビニルアルコールの官能化ホモポリマー又はコポリマーを含む包装用途のためのインク及びコーティング組成物,12,本権利は抹消されていない存続期間満了日(2032/06/29),7年,(2022/12/28)
page-6069318,特許2014-521999(2012/07/27),6069318,ドイツ連邦共和国(512131933)フレゼニウス　ムディカル　カーレ　ドイチェランド　ゲーエムベーハー,医療用ポート、体外血液処理用の血液ホース並びに医療処理装置,23,本権利は抹消されていない存続期間満了日(2032/07/27),7年,(2022/12/28)
page-6069335,特許2014-537269(2012/10/19),6069335,アメリカ合衆国ザ　ケマーズ　カンパニー　エフシー　リミテッド　ライアビリティ　カンパニー,Ｅ－１－クロロ－２，３，３，３－テトラフルオロプロペンの共沸混合物様組成物およびそれらの使用,8,本権利は抹消されていない存続期間満了日(2032/10/19),7年,(2022/12/28)
page-6069340,特許2014-543578(2012/11/21),6069340,アメリカ合衆国(510121444)アビオメド　インコーポレイテッド,カウンターパルセーション装置の駆動装置、方法、およびシステム,19,本権利は抹消されていない存続期間満了日(2032/11/21),7年,(2022/12/28)
page-6069349,特許2014-549163(2012/12/17),6069349,アメリカ合衆国(507107291)テキサス　インスツルメンツ　インコーポレイテッド,誘導性結合充電器,11,本権利は抹消されていない存続期間満了日(2032/12/17),7年,(2022/12/28)
page-6069363,特許2014-554718(2012/12/12),6069363,アメリカ合衆国(507020152)メドトロニック，インコーポレイテッド,埋め込み可能な医療デバイスのための再充電電力の管理,31,本権利は抹消されていない存続期間満了日(2032/12/12),7年,(2022/12/28)
page-6069438,特許2015-165577(2015/08/25),6069438,アメリカ合衆国(512269650)コヴィディエン　リミテッド　パートナーシップ,内視鏡超音波ガイド下胆道アクセスシステム,16,本権利は抹消されていない存続期間満了日(2035/08/25),7年,(2022/12/28)
page-6069462,特許2015-221225(2015/11/11),6069462,アメリカ合衆国(512225379)セラニーズ・インターナショナル・コーポレーション,反応媒体をフラッシュさせる方法,18,本権利は抹消されていない存続期間満了日(2035/11/11),7年,(2022/12/28)
page-6069476,特許2015-245926(2015/12/17),6069476,スイス国(504341564)モントレー　ブレゲ・エス　アー,計時器暦機構,8,本権利は抹消されていない存続期間満了日(2035/12/17),7年,(2022/12/28)
